;cidade;area;quartos;banheiro;estacionamento;andar;aceita animal?;mobilhado;valor condomínio (R$);valor do aluguel (R$);imposto do imóvel (R$);seguro fiança (R$);total (R$);valores mensais (R$);valores anuais (R$)
6295;Campinas;348;3;3;3;-;aceita;sem mobilha;0;6000;350;91;6441;6000;72441
6296;São Paulo;270;3;4;3;10;aceita;sem mobilha;3809;7900;1792;101;13600;11709;142401
6297;Rio de Janeiro;86;2;2;1;1;não aceita;mobilhado;1500;5500;375;71;7446;7000;84446
6298;São Paulo;100;3;4;2;6;não aceita;sem mobilha;1380;3000;470;39;4889;4380;53069
6299;São Paulo;30;1;1;1;10;aceita;mobilhado;574;1850;0;24;2448;2424;29112
6300;São Paulo;146;3;4;3;20;aceita;mobilhado;1540;10000;667;127;12330;11540;139274
6301;Belo Horizonte;100;3;3;1;1;aceita;sem mobilha;350;1600;120;22;2092;1950;23542
6302;Rio de Janeiro;185;3;2;1;3;aceita;sem mobilha;2488;6900;0;89;9477;9388;112745
6303;São Paulo;300;3;5;2;7;aceita;sem mobilha;0;4600;609;70;5279;4600;55879
6304;São Paulo;120;3;4;0;-;aceita;sem mobilha;250;3200;226;41;3717;3450;41667
6305;São Paulo;195;3;3;2;-;aceita;sem mobilha;0;2990;330;45;3365;2990;36255
6306;São Paulo;110;1;3;2;6;aceita;sem mobilha;1500;8000;417;102;10020;9500;114519
6307;São Paulo;210;3;3;3;17;aceita;sem mobilha;2300;7000;717;89;10110;9300;112406
6308;Campinas;400;4;6;3;-;aceita;sem mobilha;1200;6800;700;103;8803;8000;96803
6309;Belo Horizonte;42;2;1;1;4;aceita;sem mobilha;175;690;63;10;938;865;10453
6310;Belo Horizonte;180;3;1;0;-;aceita;sem mobilha;0;3400;367;56;3823;3400;41223
6311;Campinas;329;4;2;2;9;aceita;sem mobilha;2040;6300;420;80;8840;8340;100580
6312;São Paulo;44;1;1;0;1;aceita;sem mobilha;100;1400;0;18;1518;1500;18018
6313;Belo Horizonte;28;1;1;1;-;não aceita;mobilhado;550;1250;0;17;1817;1800;21617
6314;Rio de Janeiro;90;3;2;1;2;não aceita;mobilhado;1000;3800;310;49;5159;4800;57959
6315;São Paulo;90;2;1;0;2;aceita;sem mobilha;622;2150;212;28;3012;2772;33504
6316;São Paulo;200;2;1;0;-;aceita;sem mobilha;0;2800;291;43;3134;2800;33934
6317;Porto Alegre;240;3;4;3;-;aceita;sem mobilha;0;6000;184;107;6291;6000;72291
6318;Porto Alegre;55;2;1;0;19;aceita;sem mobilha;500;1200;84;18;1802;1700;20502
6319;Belo Horizonte;90;3;2;0;8;não aceita;sem mobilha;630;4200;150;56;5036;4830;58166
6320;São Paulo;85;3;1;2;6;aceita;sem mobilha;955;1900;270;25;3150;2855;34555
6321;São Paulo;255;4;4;3;13;aceita;mobilhado;0;11900;0;151;12050;11900;142951
6322;São Paulo;280;5;2;1;-;aceita;sem mobilha;0;8000;0;121;8121;8000;96121
6323;Rio de Janeiro;32;1;1;0;8;aceita;sem mobilha;574;1400;66;19;2059;1974;23773
6324;Belo Horizonte;29;1;1;0;1;não aceita;sem mobilha;0;1100;8;15;1123;1100;13223
6325;São Paulo;48;1;1;1;15;aceita;mobilhado;487;3000;142;39;3668;3487;42025
6326;Campinas;170;3;2;2;-;aceita;sem mobilha;0;2300;98;35;2433;2300;27733
6327;Belo Horizonte;45;1;1;1;3;não aceita;mobilhado;300;3000;0;40;3340;3300;39640
6328;Campinas;341;4;6;4;-;aceita;sem mobilha;660;13000;608;196;14460;13660;164724
6329;Porto Alegre;80;2;2;0;-;aceita;mobilhado;330;1638;0;19;1987;1968;23635
6330;Rio de Janeiro;153;3;2;1;2;aceita;sem mobilha;1500;2550;157;33;4240;4050;48790
6331;Rio de Janeiro;120;3;2;1;2;aceita;sem mobilha;1260;2200;0;29;3489;3460;41549
6332;São Paulo;33;1;1;0;3;aceita;sem mobilha;350;1650;0;21;2021;2000;24021
6333;São Paulo;180;4;4;2;10;aceita;sem mobilha;1900;5500;507;70;7977;7400;89377
6334;Campinas;84;3;1;1;3;aceita;sem mobilha;950;1200;147;16;2313;2150;25963
6335;São Paulo;73;3;2;1;12;aceita;sem mobilha;923;2700;171;35;3829;3623;43682
6336;São Paulo;50;1;2;1;9;não aceita;mobilhado;850;3000;210;39;4099;3850;46449
6337;São Paulo;40;1;1;1;5;não aceita;sem mobilha;603;4320;181;55;5159;4923;59312
6338;São Paulo;216;3;4;4;7;aceita;mobilhado;2300;15000;900;191;18390;17300;208691
6339;São Paulo;44;1;1;1;8;aceita;sem mobilha;480;2300;70;30;2880;2780;33460
6340;Belo Horizonte;120;3;2;2;1;não aceita;sem mobilha;318;1700;331;23;2372;2018;24570
6341;Porto Alegre;150;3;3;2;10;aceita;mobilhado;1300;8900;250;130;10580;10200;122780
6342;São Paulo;136;3;2;3;12;aceita;mobilhado;1400;2500;325;32;4257;3900;47157
6343;Porto Alegre;54;1;1;0;2;aceita;sem mobilha;400;1000;25;15;1440;1400;16840
6344;São Paulo;100;2;1;1;5;aceita;mobilhado;1400;3800;234;49;5483;5200;62683
6345;São Paulo;50;2;1;1;1;aceita;sem mobilha;496;1200;0;16;1712;1696;20368
6346;Campinas;60;2;1;0;-;não aceita;sem mobilha;0;800;138;13;951;800;9751
6347;Rio de Janeiro;125;3;2;1;5;aceita;mobilhado;1460;3500;295;46;5301;4960;59861
6348;Rio de Janeiro;28;1;1;0;1;aceita;sem mobilha;450;1870;0;25;2345;2320;27865
6349;Porto Alegre;78;2;1;0;3;aceita;sem mobilha;280;1480;32;22;1814;1760;21174
6350;Porto Alegre;46;1;1;0;6;aceita;sem mobilha;345;850;27;13;1235;1195;14380
6351;São Paulo;35;1;1;1;8;não aceita;mobilhado;593;2896;78;37;3604;3489;41983
6352;São Paulo;104;3;2;2;2;aceita;sem mobilha;1500;4200;432;54;6186;5700;68886
6353;São Paulo;215;3;3;2;1;não aceita;mobilhado;3000;15000;834;191;19030;18000;217025
6354;Campinas;100;3;2;2;-;aceita;sem mobilha;0;2250;15;34;2299;2250;27049
6355;Belo Horizonte;30;1;1;1;-;não aceita;sem mobilha;0;705;0;10;715;705;8470
6356;Porto Alegre;43;1;1;0;3;aceita;mobilhado;250;1500;25;22;1797;1750;21047
6357;São Paulo;234;3;4;3;13;aceita;sem mobilha;2400;7000;84;89;9573;9400;112973
6358;São Paulo;37;1;1;0;4;aceita;mobilhado;1320;1730;142;22;3214;3050;36764
6359;São Paulo;50;2;1;0;1;aceita;sem mobilha;54;2000;42;26;2122;2054;24716
6360;Rio de Janeiro;71;2;2;1;12;aceita;mobilhado;1170;3500;190;46;4906;4670;56276
6361;São Paulo;118;3;3;2;17;aceita;mobilhado;1000;3890;356;50;5296;4890;59086
6362;Campinas;122;3;2;1;4;aceita;sem mobilha;250;1750;117;23;2140;2000;24140
6363;Rio de Janeiro;58;2;2;1;3;aceita;sem mobilha;745;1200;44;16;2005;1945;23400
6364;São Paulo;270;3;3;2;-;aceita;sem mobilha;0;9800;0;148;9948;9800;117748
6365;Porto Alegre;90;3;2;2;9;aceita;sem mobilha;1163;2500;202;37;3902;3663;44195
6366;São Paulo;400;4;3;3;-;aceita;sem mobilha;0;8000;1250;121;9371;8000;97371
6367;Campinas;155;3;3;2;-;aceita;sem mobilha;960;5500;15;83;6558;6460;77618
6368;Rio de Janeiro;85;2;1;0;8;aceita;mobilhado;1500;2975;134;39;4648;4475;53873
6369;São Paulo;280;4;4;4;1;aceita;mobilhado;3600;12000;1667;172;17440;15600;189039
6370;Rio de Janeiro;30;1;1;0;8;aceita;mobilhado;500;2000;45;26;2571;2500;30071
6371;São Paulo;54;1;2;0;7;aceita;sem mobilha;390;3500;0;45;3935;3890;46725
6372;Porto Alegre;25;1;1;0;8;aceita;sem mobilha;277;750;27;11;1065;1027;12362
6373;Belo Horizonte;176;4;2;2;-;aceita;sem mobilha;0;4500;226;74;4800;4500;54300
6374;São Paulo;570;4;6;4;-;aceita;sem mobilha;0;10500;1834;158;12490;10500;127992
6375;Belo Horizonte;95;2;2;1;10;aceita;sem mobilha;735;1600;170;22;2527;2335;28212
6376;São Paulo;30;1;1;0;4;aceita;sem mobilha;250;1153;0;4;1407;1403;16840
6377;São Paulo;250;3;4;3;-;aceita;sem mobilha;0;3571;430;54;4055;3571;43336
6378;São Paulo;98;3;3;2;-;aceita;sem mobilha;0;2500;0;38;2538;2500;30038
6379;Belo Horizonte;68;2;2;2;3;aceita;sem mobilha;168;800;59;11;1038;968;11686
6380;São Paulo;83;3;2;2;7;aceita;sem mobilha;804;3690;317;47;4858;4494;54292
6381;Belo Horizonte;70;2;2;2;6;aceita;sem mobilha;625;2250;211;30;3116;2875;34741
6382;Belo Horizonte;50;2;1;1;3;aceita;sem mobilha;170;1000;28;14;1212;1170;14082
6383;São Paulo;480;4;5;3;-;aceita;sem mobilha;2200;4100;1700;62;8062;6300;77362
6384;São Paulo;250;3;2;8;-;aceita;sem mobilha;0;10000;0;151;10150;10000;120151
6385;São Paulo;191;4;3;3;13;não aceita;sem mobilha;2800;9500;1200;121;13620;12300;148921
6386;São Paulo;140;3;3;3;7;não aceita;sem mobilha;2200;8000;800;102;11100;10200;123302
6387;São Paulo;49;1;1;1;5;aceita;sem mobilha;284;2600;134;33;3051;2884;34775
6388;Belo Horizonte;362;5;4;4;15;não aceita;sem mobilha;1400;7900;1504;106;10910;9300;113210
6389;Rio de Janeiro;61;2;1;0;3;aceita;sem mobilha;640;1297;21;17;1975;1937;23282
6390;Porto Alegre;156;3;2;1;-;aceita;sem mobilha;0;1615;110;29;1754;1615;19519
6391;São Paulo;179;3;2;1;3;aceita;sem mobilha;1457;5400;359;69;7285;6857;82712
6392;Rio de Janeiro;120;3;3;2;5;aceita;mobilhado;1100;2800;150;37;4087;3900;46987
6393;Belo Horizonte;200;4;2;2;-;aceita;mobilhado;0;12000;233;197;12430;12000;144430
6394;São Paulo;185;3;3;3;20;aceita;sem mobilha;2670;5600;907;71;9248;8270;100218
6395;São Paulo;120;2;2;0;1;aceita;sem mobilha;300;3600;120;46;4066;3900;46966
6396;São Paulo;50;2;1;1;13;aceita;sem mobilha;407;1715;12;22;2156;2122;25498
6397;Belo Horizonte;400;3;3;2;-;aceita;sem mobilha;0;4800;0;79;4879;4800;57679
6398;São Paulo;240;3;4;2;-;aceita;sem mobilha;1;8200;625;124;8950;8201;99161
6399;São Paulo;60;2;1;1;13;aceita;mobilhado;550;1520;80;20;2170;2070;24940
6400;São Paulo;100;2;1;3;-;não aceita;sem mobilha;0;2700;378;41;3119;2700;32819
6401;São Paulo;250;4;4;3;-;não aceita;sem mobilha;0;7500;417;113;8030;7500;90530
6402;Porto Alegre;100;4;2;1;2;aceita;sem mobilha;750;1820;167;27;2764;2570;31034
6403;Rio de Janeiro;72;1;2;1;6;aceita;sem mobilha;580;2000;0;26;2606;2580;30986
6404;Rio de Janeiro;70;2;1;0;2;aceita;mobilhado;250;2000;7;26;2283;2250;27033
6405;São Paulo;16;1;1;0;2;aceita;sem mobilha;0;2700;5;35;2740;2700;32440
6406;São Paulo;98;3;2;2;10;aceita;sem mobilha;900;4500;0;58;5458;5400;64858
6407;São Paulo;170;3;3;1;6;aceita;sem mobilha;1300;2060;200;27;3587;3360;40547
6408;São Paulo;45;2;1;0;-;não aceita;sem mobilha;70;1450;43;22;1585;1520;18305
6409;São Paulo;90;2;2;1;7;aceita;mobilhado;760;5500;142;70;6472;6260;75332
6410;São Paulo;30;1;1;1;11;aceita;mobilhado;500;2570;0;8;3078;3070;36848
6411;São Paulo;140;3;3;2;3;aceita;sem mobilha;2350;4905;59;63;7377;7255;87182
6412;São Paulo;90;2;2;2;2;aceita;sem mobilha;1230;3640;342;47;5259;4870;58829
6413;Belo Horizonte;62;2;2;0;1;aceita;sem mobilha;0;1300;0;18;1318;1300;15618
6414;Rio de Janeiro;80;2;2;0;6;aceita;sem mobilha;650;2500;0;33;3183;3150;37833
6415;São Paulo;40;1;1;0;-;não aceita;sem mobilha;0;750;0;12;762;750;9012
6416;Rio de Janeiro;65;1;1;0;-;aceita;sem mobilha;300;1800;30;24;2154;2100;25254
6417;São Paulo;300;3;2;1;-;aceita;sem mobilha;0;3900;538;59;4497;3900;47397
6418;São Paulo;340;4;4;3;-;aceita;sem mobilha;0;10000;1084;151;11240;10000;121235
6419;São Paulo;72;2;2;1;6;aceita;sem mobilha;1100;5270;334;67;6771;6370;76841
6420;São Paulo;250;4;3;3;-;não aceita;sem mobilha;0;13000;950;196;14150;13000;157146
6421;Rio de Janeiro;100;2;2;3;12;não aceita;sem mobilha;1470;3478;180;45;5173;4948;59601
6422;São Paulo;45;1;1;1;1;não aceita;mobilhado;3000;5520;0;70;8590;8520;102310
6423;Porto Alegre;98;3;1;0;1;não aceita;sem mobilha;240;12750;50;187;13230;12990;156117
6424;Belo Horizonte;164;3;2;2;-;aceita;sem mobilha;0;3200;131;53;3384;3200;38584
6425;São Paulo;250;3;3;4;-;aceita;mobilhado;250;6500;309;98;7157;6750;81407
6426;Rio de Janeiro;28;1;1;0;3;aceita;mobilhado;609;1189;0;16;1814;1798;21592
6427;Rio de Janeiro;60;2;1;0;11;não aceita;mobilhado;600;1650;0;22;2272;2250;27022
6428;São Paulo;105;3;3;2;4;não aceita;sem mobilha;1380;2720;417;35;4552;4100;49652
6429;São Paulo;220;2;4;3;26;não aceita;sem mobilha;2000;12960;834;165;15960;14960;180519
6430;Rio de Janeiro;250;5;3;1;-;aceita;sem mobilha;500;4000;100;61;4661;4500;54161
6431;São Paulo;171;3;3;1;13;aceita;sem mobilha;2395;5100;259;65;7819;7495;90264
6432;Rio de Janeiro;156;4;3;2;4;aceita;sem mobilha;1350;3900;600;51;5901;5250;63651
6433;São Paulo;150;3;5;3;-;aceita;mobilhado;0;4500;189;68;4757;4500;54257
6434;Belo Horizonte;75;3;2;1;3;aceita;sem mobilha;500;1500;50;20;2070;2000;24070
6435;São Paulo;254;3;5;4;18;aceita;sem mobilha;2000;10000;990;127;13120;12000;145117
6436;São Paulo;68;1;2;1;6;aceita;mobilhado;2304;9000;532;115;11950;11304;136295
6437;São Paulo;55;2;1;0;5;não aceita;sem mobilha;337;1528;0;20;1885;1865;22400
6438;Porto Alegre;40;1;1;0;10;aceita;sem mobilha;200;800;19;12;1031;1000;12031
6439;São Paulo;230;2;3;1;1;aceita;mobilhado;3000;12000;450;153;15600;15000;180603
6440;Porto Alegre;70;2;2;0;3;não aceita;mobilhado;400;1995;80;30;2505;2395;28850
6441;São Paulo;170;4;5;2;-;aceita;sem mobilha;0;3700;0;56;3756;3700;44456
6442;Porto Alegre;40;1;1;1;1;aceita;sem mobilha;402;1050;67;16;1535;1452;17507
6443;São Paulo;45;1;1;1;1;não aceita;mobilhado;3000;5520;0;70;8590;8520;102310
6444;São Paulo;270;3;4;3;4;aceita;mobilhado;3700;7500;1471;96;12770;11200;135967
6445;Campinas;54;2;1;1;10;aceita;sem mobilha;320;1500;23;20;1863;1820;21883
6446;Campinas;291;4;3;2;-;aceita;sem mobilha;0;3300;208;50;3558;3300;39858
6447;Belo Horizonte;86;2;1;1;1;aceita;sem mobilha;200;1310;130;18;1658;1510;18268
6448;São Paulo;77;2;1;1;5;aceita;sem mobilha;886;2200;0;28;3114;3086;37060
6449;São Paulo;86;3;2;2;10;aceita;mobilhado;550;2900;190;37;3677;3450;41627
6450;Campinas;200;3;4;2;4;não aceita;sem mobilha;2500;2000;275;26;4801;4500;54301
6451;São Paulo;90;2;2;2;16;não aceita;mobilhado;867;4800;203;61;5931;5667;68268
6452;São Paulo;64;2;2;2;12;aceita;sem mobilha;790;3400;161;44;4395;4190;50485
6453;Porto Alegre;54;2;1;2;2;aceita;sem mobilha;240;1310;30;20;1600;1550;18650
6454;Porto Alegre;387;7;5;3;-;aceita;mobilhado;0;6000;394;107;6501;6000;72501
6455;São Paulo;100;2;3;2;20;não aceita;mobilhado;1080;10000;138;127;11350;11080;133225
6456;São Paulo;50;2;2;1;9;aceita;sem mobilha;390;1800;0;23;2213;2190;26303
6457;Belo Horizonte;520;3;3;4;20;não aceita;sem mobilha;2224;12000;1133;160;15520;14224;171981
6458;São Paulo;23;1;1;0;25;aceita;sem mobilha;393;2100;59;27;2579;2493;30002
6459;Rio de Janeiro;60;1;1;0;3;aceita;sem mobilha;520;1580;0;21;2121;2100;25221
6460;São Paulo;96;2;1;1;4;não aceita;sem mobilha;800;3000;0;39;3839;3800;45639
6461;São Paulo;140;3;1;0;-;aceita;sem mobilha;0;2700;167;41;2908;2700;32608
6462;Rio de Janeiro;103;3;2;0;4;aceita;sem mobilha;812;2750;200;36;3798;3562;42980
6463;São Paulo;148;4;4;4;10;aceita;mobilhado;2580;2000;406;26;5012;4580;55392
6464;São Paulo;172;4;3;1;-;aceita;sem mobilha;0;3500;114;53;3667;3500;42167
6465;São Paulo;93;2;3;2;5;aceita;sem mobilha;1006;3200;350;41;4597;4206;50863
6466;São Paulo;72;2;2;1;4;aceita;sem mobilha;690;2300;200;30;3220;2990;36110
6467;Campinas;68;2;1;1;1;aceita;sem mobilha;400;1500;70;20;1990;1900;22890
6468;São Paulo;350;4;3;4;-;aceita;sem mobilha;0;4000;209;61;4270;4000;48270
6469;Rio de Janeiro;70;2;2;1;1;aceita;mobilhado;950;3500;225;46;4721;4450;53671
6470;São Paulo;400;5;4;3;-;aceita;sem mobilha;2600;6900;1017;104;10620;9500;115121
6471;Porto Alegre;38;1;1;0;1;aceita;sem mobilha;280;690;9;11;990;970;11660
6472;São Paulo;107;2;2;1;12;não aceita;sem mobilha;1300;8400;293;107;10100;9700;116800
6473;São Paulo;38;1;1;0;1;não aceita;sem mobilha;60;950;0;13;1023;1010;12133
6474;São Paulo;111;3;2;0;7;aceita;sem mobilha;1370;2500;264;32;4166;3870;46736
6475;São Paulo;140;4;3;2;10;aceita;sem mobilha;2000;3800;334;49;6183;5800;69983
6476;São Paulo;35;1;1;0;-;aceita;sem mobilha;0;1150;30;15;1195;1150;13845
6477;São Paulo;178;3;3;4;12;não aceita;mobilhado;2180;15000;850;191;18220;17180;207201
6478;São Paulo;200;2;2;1;10;aceita;mobilhado;2700;9500;600;121;12920;12200;147121
6479;São Paulo;33;1;1;0;1;não aceita;sem mobilha;338;1000;63;13;1414;1338;16132
6480;Belo Horizonte;90;3;2;1;2;não aceita;sem mobilha;300;1600;140;22;2062;1900;22962
6481;Rio de Janeiro;65;2;1;0;1;não aceita;sem mobilha;560;1600;67;21;2248;2160;26008
6482;São Paulo;320;3;3;8;-;aceita;sem mobilha;0;5500;572;83;6155;5500;66655
6483;Porto Alegre;68;2;1;0;2;aceita;sem mobilha;160;1320;26;20;1526;1480;17806
6484;Porto Alegre;180;6;2;3;1;aceita;sem mobilha;0;4800;242;71;5113;4800;57913
6485;São Paulo;50;2;1;1;-;não aceita;sem mobilha;0;1300;69;20;1389;1300;15689
6486;São Paulo;137;3;2;1;6;aceita;sem mobilha;1480;4700;293;60;6533;6180;74513
6487;São Paulo;165;3;2;2;8;aceita;mobilhado;1750;6500;779;83;9112;8250;99862
6488;São Paulo;180;2;2;1;15;aceita;sem mobilha;1800;5350;0;68;7218;7150;85868
6489;São Paulo;220;4;4;3;12;aceita;sem mobilha;3600;5100;892;65;9657;8700;105357
6490;Belo Horizonte;85;2;2;1;1;aceita;sem mobilha;541;2800;0;38;3379;3341;40130
6491;Rio de Janeiro;37;1;1;0;8;não aceita;mobilhado;700;1400;209;19;2328;2100;25428
6492;Porto Alegre;64;2;3;2;2;aceita;sem mobilha;400;2750;113;41;3304;3150;37954
6493;Rio de Janeiro;97;2;2;1;7;aceita;sem mobilha;1770;4400;334;57;6561;6170;74431
6494;Belo Horizonte;90;3;2;1;1;aceita;sem mobilha;135;1300;115;18;1568;1435;17353
6495;Rio de Janeiro;130;3;2;1;9;aceita;sem mobilha;1350;4500;209;58;6117;5850;70467
6496;Campinas;128;4;2;1;7;não aceita;sem mobilha;900;3400;59;44;4403;4300;51703
6497;São Paulo;58;2;2;1;12;não aceita;mobilhado;928;4000;256;51;5235;4928;59443
6498;Belo Horizonte;76;2;1;1;2;não aceita;sem mobilha;200;900;0;12;1112;1100;13212
6499;São Paulo;220;2;4;2;-;aceita;mobilhado;0;6200;1200;94;7494;6200;75694
6500;São Paulo;40;1;1;0;-;não aceita;sem mobilha;30;780;17;12;839;810;9749
6501;São Paulo;235;3;4;3;2;aceita;sem mobilha;2000;2550;1000;33;5583;4550;55633
6502;Belo Horizonte;45;1;1;0;9;aceita;sem mobilha;285;1100;55;15;1455;1385;16690
6503;São Paulo;47;2;1;1;4;não aceita;sem mobilha;580;1100;0;14;1694;1680;20174
6504;Belo Horizonte;471;5;6;3;-;aceita;sem mobilha;0;14000;1297;230;15530;14000;169527
6505;Campinas;50;1;1;0;4;aceita;sem mobilha;418;520;23;7;968;938;11286
6506;Belo Horizonte;344;3;4;4;16;não aceita;sem mobilha;3158;15000;1231;200;19590;18158;219327
6507;São Paulo;38;1;1;1;12;não aceita;mobilhado;353;1850;28;24;2255;2203;26488
6508;Porto Alegre;42;2;1;0;-;aceita;sem mobilha;0;860;13;16;889;860;10349
6509;Belo Horizonte;60;1;1;1;9;aceita;sem mobilha;270;1400;101;19;1790;1670;20160
6510;São Paulo;500;4;6;4;-;aceita;sem mobilha;0;13000;2200;196;15400;13000;158396
6511;São Paulo;49;2;1;1;5;aceita;sem mobilha;300;1700;21;22;2043;2000;24043
6512;Belo Horizonte;48;2;1;1;3;aceita;sem mobilha;120;900;96;12;1128;1020;12348
6513;São Paulo;45;2;1;0;-;não aceita;sem mobilha;0;1300;109;20;1429;1300;15729
6514;Porto Alegre;72;2;2;1;2;aceita;sem mobilha;570;1200;60;18;1848;1770;21318
6515;Belo Horizonte;400;3;2;1;-;aceita;sem mobilha;0;1600;258;27;1885;1600;19485
6516;São Paulo;28;1;1;0;1;não aceita;mobilhado;0;1750;0;23;1773;1750;21023
6517;Rio de Janeiro;189;3;2;2;9;aceita;sem mobilha;2500;8500;489;110;11600;11000;132599
6518;São Paulo;160;3;2;0;12;aceita;sem mobilha;1239;3900;150;50;5339;5139;61868
6519;Rio de Janeiro;330;4;4;2;21;aceita;sem mobilha;1300;15000;1084;110;17490;16300;196794
6520;São Paulo;200;3;5;4;6;aceita;sem mobilha;1970;1720;959;22;4671;3690;45261
6521;São Paulo;375;4;5;5;1;aceita;sem mobilha;4793;15000;2805;191;22790;19793;240512
6522;São Paulo;68;2;2;1;7;aceita;mobilhado;489;1877;0;24;2390;2366;28416
6523;São Paulo;70;2;1;1;8;aceita;sem mobilha;850;2500;92;32;3474;3350;40324
6524;Rio de Janeiro;110;3;2;0;10;não aceita;mobilhado;1260;2950;303;39;4552;4210;50862
6525;São Paulo;103;3;3;2;7;não aceita;sem mobilha;1470;5600;330;71;7471;7070;85241
6526;Rio de Janeiro;26;1;1;0;2;não aceita;sem mobilha;50;1500;59;20;1629;1550;18679
6527;Belo Horizonte;88;3;2;2;2;não aceita;sem mobilha;312;1200;109;16;1637;1512;18269
6528;São Paulo;165;3;4;3;7;aceita;sem mobilha;1700;4500;573;58;6831;6200;75031
6529;São Paulo;80;2;2;0;-;não aceita;sem mobilha;0;1100;167;17;1284;1100;13384
6530;Porto Alegre;90;3;2;2;9;aceita;sem mobilha;433;2780;116;41;3370;3213;38713
6531;São Paulo;380;4;1;2;-;não aceita;sem mobilha;0;4000;386;61;4447;4000;48447
6532;São Paulo;174;3;4;2;2;aceita;sem mobilha;1936;6000;390;77;8403;7936;95699
6533;São Paulo;128;4;5;1;-;aceita;sem mobilha;0;6800;71;87;6958;6800;81758
6534;São Paulo;160;3;4;4;2;aceita;sem mobilha;2250;2100;480;27;4857;4350;52707
6535;Rio de Janeiro;168;3;2;0;1;aceita;sem mobilha;1000;3700;417;48;5165;4700;56865
6536;Campinas;100;3;2;2;1;aceita;mobilhado;700;2200;105;28;3033;2900;34933
6537;Rio de Janeiro;69;2;1;1;9;aceita;mobilhado;500;1370;56;18;1944;1870;22514
6538;Belo Horizonte;300;3;3;0;-;aceita;mobilhado;0;5000;0;82;5082;5000;60082
6539;Belo Horizonte;163;4;4;0;14;aceita;sem mobilha;1005;7500;22;100;8627;8505;102182
6540;São Paulo;86;3;1;1;5;aceita;mobilhado;1000;2200;116;28;3344;3200;38544
6541;São Paulo;236;4;3;3;13;aceita;sem mobilha;3070;1600;1015;21;5706;4670;57076
6542;Rio de Janeiro;112;3;2;0;7;aceita;sem mobilha;1344;3900;271;51;5566;5244;63250
6543;São Paulo;600;5;5;6;-;aceita;sem mobilha;0;12750;1059;192;14000;12750;154251
6544;Campinas;256;4;5;4;8;aceita;sem mobilha;3900;3000;1167;39;8106;6900;84006
6545;São Paulo;220;3;4;2;-;não aceita;sem mobilha;0;3500;276;53;3829;3500;42329
6546;São Paulo;257;4;4;4;14;não aceita;sem mobilha;5000;12000;1584;153;18740;17000;205737
6547;Belo Horizonte;75;3;1;1;4;aceita;sem mobilha;280;1500;66;20;1866;1780;21446
6548;Rio de Janeiro;400;3;1;1;-;aceita;mobilhado;0;7650;666;117;8433;7650;92583
6549;São Paulo;560;4;6;5;-;aceita;sem mobilha;0;6550;1700;99;8349;6550;80399
6550;São Paulo;220;4;4;5;3;não aceita;mobilhado;1700;4600;0;59;6359;6300;75659
6551;Rio de Janeiro;70;1;1;1;4;aceita;sem mobilha;1065;3500;255;46;4866;4565;55081
6552;Belo Horizonte;19;1;1;0;1;não aceita;sem mobilha;0;1200;37;16;1253;1200;14453
6553;São Paulo;35;1;1;0;-;aceita;sem mobilha;0;900;11;14;925;900;10825
6554;São Paulo;70;1;1;1;4;aceita;sem mobilha;740;2600;66;33;3439;3340;40179
6555;São Paulo;40;1;1;0;12;não aceita;mobilhado;370;3300;74;42;3786;3670;44156
6556;Porto Alegre;37;1;1;0;2;aceita;sem mobilha;330;1500;67;22;1919;1830;22049
6557;São Paulo;180;2;2;1;12;aceita;sem mobilha;3400;9000;480;115;13000;12400;149395
6558;Rio de Janeiro;60;1;1;0;2;não aceita;sem mobilha;600;2300;140;30;3070;2900;34970
6559;Rio de Janeiro;90;3;2;1;9;aceita;sem mobilha;700;2050;60;27;2837;2750;33087
6560;São Paulo;208;4;2;4;-;aceita;sem mobilha;0;4500;282;68;4850;4500;54350
6561;Rio de Janeiro;160;3;2;1;11;aceita;sem mobilha;1860;4700;275;61;6896;6560;79056
6562;Belo Horizonte;180;4;2;1;3;aceita;mobilhado;770;3610;248;49;4677;4380;52857
6563;Porto Alegre;150;4;3;0;-;aceita;sem mobilha;0;3300;800;59;4159;3300;40459
6564;Campinas;75;2;1;1;-;aceita;sem mobilha;0;1080;80;17;1177;1080;13057
6565;Rio de Janeiro;90;2;2;1;4;aceita;sem mobilha;1660;1039;350;14;3063;2699;32752
6566;São Paulo;170;4;2;2;-;aceita;sem mobilha;0;2900;50;44;2994;2900;34894
6567;São Paulo;193;2;4;4;7;aceita;sem mobilha;1948;13000;1323;165;16440;14948;180864
6568;São Paulo;40;1;1;0;22;aceita;mobilhado;473;2300;39;30;2842;2773;33345
6569;São Paulo;45;1;1;1;5;aceita;mobilhado;519;3850;209;49;4627;4369;52686
6570;São Paulo;116;3;4;2;4;aceita;sem mobilha;1036;8000;584;102;9722;9036;109118
6571;São Paulo;67;2;2;1;1;aceita;mobilhado;650;2300;0;30;2980;2950;35430
6572;São Paulo;40;1;1;0;8;não aceita;mobilhado;685;1920;117;25;2747;2605;31402
6573;São Paulo;140;2;3;1;-;aceita;sem mobilha;0;3850;150;58;4058;3850;46408
6574;Campinas;52;2;1;1;7;aceita;sem mobilha;248;980;77;13;1318;1228;14826
6575;São Paulo;350;3;4;6;-;aceita;sem mobilha;0;3850;834;58;4742;3850;47092
